Start,End
1985-04-19 18:00:00,1985-04-22 18:00:00
1985-11-28 11:00:00,1985-12-01 11:00:00
1986-02-07 12:00:00,1986-02-10 12:00:00
1986-09-10 18:00:00,1986-09-13 18:00:00
1988-01-13 11:00:00,1988-01-16 11:00:00
1988-03-25 09:00:00,1988-03-28 09:00:00
1988-04-02 06:00:00,1988-04-05 06:00:00
1988-05-04 22:00:00,1988-05-07 22:00:00
1988-10-09 05:00:00,1988-10-12 05:00:00
1989-03-12 13:00:00,1989-03-15 13:00:00
1989-06-09 03:00:00,1989-06-12 03:00:00
1989-08-13 17:00:00,1989-08-16 17:00:00
1989-08-27 17:00:00,1989-08-30 17:00:00
1989-09-17 16:00:00,1989-09-20 16:00:00
1989-09-25 07:00:00,1989-09-28 07:00:00
1989-10-20 04:00:00,1989-10-23 04:00:00
1989-11-16 10:00:00,1989-11-19 10:00:00
1990-03-11 11:00:00,1990-03-14 11:00:00
1990-03-28 23:00:00,1990-03-31 23:00:00
1990-04-09 06:00:00,1990-04-13 20:00:00
1990-06-11 15:00:00,1990-06-16 04:00:00
1991-03-23 12:00:00,1991-03-28 03:00:00
1991-06-04 07:00:00,1991-06-07 07:00:00
1991-06-09 18:00:00,1991-06-12 18:00:00
1991-07-08 02:00:00,1991-07-11 02:00:00
1991-07-12 03:00:00,1991-07-15 03:00:00
1991-08-17 20:00:00,1991-08-20 20:00:00
1991-09-30 15:00:00,1991-10-03 15:00:00
1991-10-27 19:00:00,1991-10-30 19:00:00
1991-10-31 11:00:00,1991-11-03 11:00:00
1991-11-07 13:00:00,1991-11-10 13:00:00
1992-02-01 20:00:00,1992-02-04 20:00:00
1992-02-07 20:00:00,1992-02-10 20:00:00
1992-02-19 19:00:00,1992-02-22 19:00:00
1992-02-25 09:00:00,1992-02-28 09:00:00
1992-05-09 02:00:00,1992-05-12 02:00:00
1992-08-21 15:00:00,1992-08-24 15:00:00
1993-04-03 18:00:00,1993-04-06 18:00:00
1993-09-11 17:00:00,1993-09-14 17:00:00
1994-02-20 13:00:00,1994-02-23 13:00:00
1994-04-15 19:00:00,1994-04-18 19:00:00
1995-04-06 06:00:00,1995-04-09 06:00:00
1998-05-02 17:00:00,1998-05-05 17:00:00
1998-08-25 21:00:00,1998-08-28 21:00:00
1998-09-23 21:00:00,1998-09-26 21:00:00
1998-11-06 18:00:00,1998-11-09 18:00:00
1999-09-21 11:00:00,1999-09-24 11:00:00
1999-10-20 18:00:00,1999-10-23 18:00:00
2000-04-05 12:00:00,2000-04-08 12:00:00
2000-05-22 20:00:00,2000-05-25 20:00:00
2000-07-14 12:00:00,2000-07-17 12:00:00
2000-08-10 21:00:00,2000-08-13 21:00:00
2000-09-16 11:00:00,2000-09-19 11:00:00
2000-10-04 01:00:00,2000-10-07 01:00:00
2000-11-05 09:00:00,2000-11-08 09:00:00
2001-03-19 01:00:00,2001-03-22 01:00:00
2001-03-29 20:00:00,2001-04-01 20:00:00
2001-04-10 11:00:00,2001-04-13 11:00:00
2001-09-29 20:00:00,2001-10-05 02:00:00
2001-10-20 09:00:00,2001-10-23 09:00:00
2001-10-26 23:00:00,2001-10-29 23:00:00
2001-11-04 18:00:00,2001-11-07 18:00:00
2001-11-23 04:00:00,2001-11-26 04:00:00
2002-04-18 20:00:00,2002-04-21 20:00:00
2002-05-22 03:00:00,2002-05-25 03:00:00
2002-09-06 12:00:00,2002-09-09 12:00:00
2002-09-30 04:00:00,2002-10-05 20:00:00
2003-05-28 11:00:00,2003-05-31 11:00:00
2003-06-16 21:00:00,2003-06-19 21:00:00
2003-08-17 03:00:00,2003-08-20 03:00:00
2003-10-27 21:00:00,2003-11-01 10:00:00
2003-11-19 08:00:00,2003-11-22 08:00:00
2004-07-24 03:00:00,2004-07-29 01:00:00
2004-11-06 18:00:00,2004-11-11 22:00:00
2005-01-20 06:00:00,2005-01-23 06:00:00
2005-05-07 00:00:00,2005-05-10 00:00:00
2005-05-13 20:00:00,2005-05-16 20:00:00
2005-08-22 23:00:00,2005-08-25 23:00:00
2006-12-13 19:00:00,2006-12-16 19:00:00
2011-10-23 13:00:00,2011-10-26 13:00:00
2012-03-07 20:00:00,2012-03-10 20:00:00
2015-03-16 10:00:00,2015-03-19 10:00:00
2015-06-21 16:00:00,2015-06-24 16:00:00
2015-12-19 10:00:00,2015-12-22 10:00:00
2017-05-26 19:00:00,2017-05-29 19:00:00
2017-09-06 13:00:00,2017-09-09 13:00:00
2018-08-24 19:00:00,2018-08-27 19:00:00
2023-03-22 14:00:00,2023-03-25 14:00:00
2023-04-22 17:00:00,2023-04-25 17:00:00
2023-11-04 07:00:00,2023-11-07 07:00:00
2024-03-23 03:00:00,2024-03-26 03:00:00
2024-05-09 14:00:00,2024-05-12 14:00:00
